Sequencial,Fazenda-C창mara,ID# amostra (obrigat처ria),Profundidade,C처d. Laborat처rio,em H20,em CaCl2 0.01 M,Ca,Mg,Al,H + Al,P,K,M.O.,C.O. WB,C total (Dumas,N total Dumas,Argila,Silte,Areia,Densidade
1,TUC-9,TUC-9-1,-1,6434,6.3,4.9,64,20.1,0,12,50,187,55.51,3.22,3.3,0.21,414,354,231,01.07
2,TUC-9,TUC-9-2,-2,6435,6.4,4.6,38.8,14.1,0,11,9.8,150,42.87,2.49,2.64,0.14,614,254,131,1.20
3,TUC-9,TUC-9-3,-3,6436,6.5,4.5,19.4,8.4,0,7,0.9,117,30.43,1.77,1.91,0.09,674,274,51,1.20
4,TUC-9,TUC-9-4,-4,6437,5.9,4.3,5.8,4.2,0,11,0.4,70,27.27,1.58,1.56,0.07,674,274,51,1.15
5,TUC-9,TUC-9-5,-5,6438,5.5,4.3,5.4,3.9,1,12,0.2,75,21.46,1.24,1.26,0.05,714,254,31,1.15
6,TUC-9,TUC-9-6,-6,6439,5.7,4.6,7.2,3.3,1,9,0.2,64,18.36,01.06,1.13,0.05,674,254,71,1.11
7,TUC-9,TUC-9-7,-7,6440,5.9,4.8,7.3,4.6,0,9,0,56,18.28,01.06,01.09,0.05,714,254,31,1.18
8,TUC-10,TUC-10-1,-1,6441,5.9,4.5,54.7,16.6,0,21,27.7,122,56.51,3.28,3.26,0.21,534,314,151,01.02
9,TUC-10,TUC-10-2,-2,6442,5.7,4,24,6.6,1,21,5.7,70,41.73,2.42,2.5,0.13,674,254,71,1.14
10,TUC-10,TUC-10-3,-3,6443,5.5,4.1,13.1,4.3,2,18,1.2,55,30.61,1.78,1.89,0.1,714,234,51,1.12
11,TUC-10,TUC-10-4,-4,6444,5.3,4.2,6,2.6,2,15,0.9,20,21.74,1.26,1.33,0.06,734,234,31,1.12
12,TUC-10,TUC-10-5,-5,6445,5.2,4.3,5.6,2.8,2,15,0.2,19,18.75,01.09,1.15,0.06,714,254,31,1.18
13,TUC-10,TUC-10-6,-6,6446,5.6,4.6,6.5,2.6,1,12,0.1,12,17.82,01.03,01.05,0.05,754,234,11,1.20
14,TUC-10,TUC-10-7,-7,6447,5.8,4.9,6.4,2.5,1,10,0,11,15.27,0.89,0.92,0.04,754,194,51,1.19
15,TUC-11,TUC-11-1,-1,6448,5.7,4.4,38.9,11.6,1,23,22.2,89,49.41,2.87,2.88,0.16,474,494,31,1.17
16,TUC-11,TUC-11-2,-2,6449,5.6,4.1,23.1,6.9,1,23,4.9,53,44.7,2.59,2.52,0.13,654,274,71,1.13
17,TUC-11,TUC-11-3,-3,6450,5.5,4.2,13.5,5,1,20,1.3,45,30.17,1.75,1.69,0.08,654,214,131,1.19
18,TUC-11,TUC-11-4,-4,6451,5.3,4.2,7.7,3.9,2,15,0.3,37,24.04,1.39,1.44,0.07,614,174,211,1.15
19,TUC-11,TUC-11-5,-5,6452,5.3,4.4,6.8,3.2,2,14,0.3,34,19.71,1.14,1.18,0.05,694,214,91,1.15
20,TUC-11,TUC-11-6,-6,6453,5.6,4.6,10.4,3.5,1,12,0.1,25,19.44,1.13,1.2,0.06,714,254,31,1.22
21,TUC-11,TUC-11-7,-7,6454,5.7,4.8,7.9,3,0,10,0,14,15.45,0.9,0.96,0.04,894,60,46,1.26
22,TUC-12,TUC-12-1,-1,6455,6.1,4.8,47.8,17.3,0,16,39.1,203,56.91,3.3,3.35,0.2,719,180,101,01.07
23,TUC-12,TUC-12-2,-2,6456,6.2,4.5,30.2,11.2,0,17,6.1,111,41.81,2.43,2.45,0.12,683,260,57,1.19
24,TUC-12,TUC-12-3,-3,6457,5.9,4.4,14.6,6.2,0,14,1.1,80,28.7,1.66,1.78,0.09,783,140,77,1.15
25,TUC-12,TUC-12-4,-4,6458,5.5,4.3,4.2,2.5,1,13,0.2,50,22.38,1.3,1.32,0.06,843,120,37,1.20
26,TUC-12,TUC-12-5,-5,6459,5.3,4.4,5.1,3.2,1,12,0.1,48,20.04,1.16,1.19,0.05,739,180,81,1.10
27,TUC-12,TUC-12-6,-6,6460,5.7,4.7,6.3,3.5,0,10,0,39,16.69,0.97,01.08,0.05,879,80,41,1.16
28,TUC-12,TUC-12-7,-7,6461,5.8,4.9,5.2,4.6,0,8,0,22,16.41,0.95,0.96,0.04,843,80,77,01.07
29,TUC-13,TUC-13-1,-1,6462,5.7,4.1,20.9,3.7,1,22,66,59,18.77,01.09,01.02,0.06,156,70,774,1.49
30,TUC-13,TUC-13-2,-2,6463,5.9,4.5,17.1,3.5,0,20,22.3,55,19.86,1.15,0.74,0.04,146,40,814,1.64
31,TUC-13,TUC-13-3,-3,6464,6.1,4.5,12.9,3.7,0,13,30.6,50,11.73,0.68,0.56,0.03,146,40,814,1.57
32,TUC-13,TUC-13-4,-4,6465,6.3,4.8,10.1,5.4,0,10,0.4,39,8.21,0.48,0.47,0.03,156,30,814,1.53
33,TUC-13,TUC-13-5,-5,6466,6.3,5,10.4,5.3,0,8,0.5,39,7.71,0.45,0.43,0.03,156,30,814,1.60
34,TUC-13,TUC-13-6,-6,6467,6.1,5,10.5,3,0,5,0.3,36,7.47,0.43,0.42,0.02,166,40,794,1.52
35,TUC-13,TUC-13-7,-7,6468,6.2,5.2,6.8,2.6,0,2,0,28,4.87,0.28,0.3,0.02,146,50,804,1.53
36,TUC-14,TUC-14-1,-1,6469,5.5,4.1,18.3,2.8,2,23,112,44,21.89,1.27,1.25,0.09,156,40,804,1.59
37,TUC-14,TUC-14-2,-2,6470,5.9,4.3,21.4,3.3,0,19,27.7,36,17.04,0.99,0.86,0.06,156,40,804,1.56
38,TUC-14,TUC-14-3,-3,6471,6.2,4.6,14.5,2.8,0,12,1.5,33,8.95,0.52,0.5,0.03,156,30,814,1.66
39,TUC-14,TUC-14-4,-4,6472,6.4,4.9,11.6,2.9,0,7,0.5,30,7.41,0.43,0.51,0.03,136,40,824,1.52
40,TUC-14,TUC-14-5,-5,6473,6.5,4.9,10.2,2.9,0,5,0.2,30,8.21,0.48,0.54,0.03,166,40,794,1.47
41,TUC-14,TUC-14-6,-6,6474,6.5,4.4,3.3,2.2,0,6,0.1,31,6.4,0.37,0.35,0.02,196,30,774,1.55
42,TUC-14,TUC-14-7,-7,6475,5.2,4.2,2,1.4,2,8,0,28,6.26,0.36,0.38,0.02,196,30,774,1.44
43,TUC-15,TUC-15-1,-1,6476,5.2,4,17.6,2.8,2,25,93.5,69,15.62,0.91,0.98,0.06,214,40,746,1.53
44,TUC-15,TUC-15-2,-2,6477,5.6,4.1,14.8,2.5,1,20,30.8,64,11.99,0.7,0.69,0.04,214,40,746,1.63
45,TUC-15,TUC-15-3,-3,6478,6,4.4,13.5,2.2,0,17,6,58,10.89,0.63,0.64,0.04,234,40,726,1.65
46,TUC-15,TUC-15-4,-4,6479,6.4,4.9,11.3,2.6,0,8,0.5,55,7.46,0.43,0.55,0.03,234,40,726,1.56
47,TUC-15,TUC-15-5,-5,6480,6.4,5.2,9.3,3.6,0,2,0.2,51,6.97,0.4,0.42,0.02,234,40,726,1.50
48,TUC-15,TUC-15-6,-6,6481,6,5,5,1.9,0,2,0.2,45,4.9,0.28,0.37,0.02,254,60,686,1.56
49,TUC-15,TUC-15-7,-7,6482,5.8,5.1,5,1.8,0,2,0,25,4.71,0.27,0.26,0.02,294,40,666,1.45
50,TUC-16,TUC-16-1,-1,6483,5.5,4.1,19.5,2.9,1,23,75.5,28,17.04,0.99,0.77,0.05,194,60,746,1.57
51,TUC-16,TUC-16-2,-2,6484,6,4.4,20.3,4.3,0,17,29.2,27,14.27,0.83,0.88,0.06,214,40,746,1.63
52,TUC-16,TUC-16-3,-3,6485,6.2,4.4,12.8,2.9,0,15,5.6,27,8.78,0.51,0.51,0.03,234,40,726,1.64
53,TUC-16,TUC-16-4,-4,6486,5.8,4.2,6.5,1.9,1,15,0.5,19,09.04,0.52,0.56,0.03,234,20,746,1.60
54,TUC-16,TUC-16-5,-5,6487,5.3,4.1,2.8,1.4,2,16,0.3,19,8.73,0.51,0.44,0.03,254,40,706,1.54
55,TUC-16,TUC-16-6,-6,6488,5.2,4.3,1.6,1.4,2,12,0.2,17,5.44,0.32,0.31,0.02,274,40,686,1.60
56,TUC-16,TUC-16-7,-7,6489,5.4,4.7,2.5,2.4,1,10,0.1,19,04.08,0.24,0.3,0.02,274,60,666,1.58
367,TUC-ARE-Central,TUC-ARE-Central-1,-1,6800,5.6,4.1,20.4,3.9,1,21,60.5,50,20.74,1.2,0.86,0.06,114,60,826,0.00
368,TUC-ARE-Central,TUC-ARE-Central-2,-2,6801,5.9,4.3,19.7,3.9,0,17,24.6,55,13.29,0.77,0.93,0.05,114,60,826,0.00
369,TUC-ARE-Central,TUC-ARE-Central-3,-3,6802,6,4.6,13.1,3.7,0,14,4.8,55,11.7,0.68,0.53,0.03,94,120,786,0.00
370,TUC-ARG-Central,TUC-ARG-Central-1,-1,6803,5.7,4.4,47,13.7,0,19,27.6,87,47.47,2.75,2.99,0.18,214,360,426,0.00
371,TUC-ARG-Central,TUC-ARG-Central-2,-2,6804,5.6,4.2,24.1,7.9,0,17,5.6,70,39.39,2.29,2.33,0.13,274,300,426,0.00
372,TUC-ARG-Central,TUC-ARG-Central-3,-3,6805,5.4,4.3,14.6,5.5,1,16,1.7,55,28.51,1.65,1.69,0.09,294,320,386,0.00
57,AGU-25,AGU-25-1,-1,6490,5.5,3.8,0.2,0.7,11,25,0.6,30,50.49,2.93,03.07,0.16,659,110,231,01.02
58,AGU-25,AGU-25-2,-2,6491,5.5,3.9,0.2,0.6,6,24,0.4,28,40.58,2.35,02.02,0.1,739,110,151,01.08
59,AGU-25,AGU-25-3,-3,6492,5.6,4.1,0.1,0.3,4,21,0.3,20,29.31,1.7,1.56,0.09,769,90,141,1.19
60,AGU-25,AGU-25-4,-4,6493,5.6,4.3,0.2,0.3,2,18,0.1,14,19.51,1.13,1.24,0.06,809,80,111,1.14
61,AGU-25,AGU-25-5,-5,6494,5.7,4.5,0.2,0.1,1,15,0,9,18.1,01.05,1.13,0.06,669,120,211,1.17
62,AGU-25,AGU-25-6,-6,6495,5.7,4.7,0.1,0.1,0,12,0,8,15.81,0.92,01.08,0.06,619,150,231,1.17
63,AGU-25,AGU-25-7,-7,6496,5.8,4.6,0.1,0.1,0,8,0,6,19.51,1.13,1.1,0.05,659,140,201,1.27
64,AGU-26,AGU-26-1,-1,6497,5.4,3.8,0.4,0.7,11,25,0.7,34,44.98,2.61,2.77,0.15,314,180,506,01.03
65,AGU-26,AGU-26-2,-2,6498,5.6,4.1,0,0.3,5,23,0.4,19,27.15,1.57,1.66,0.09,314,220,466,1.18
66,AGU-26,AGU-26-3,-3,6499,5.6,4.1,0,0.3,3,20,0.3,16,24.03,1.39,1.51,0.08,374,220,406,1.21
67,AGU-26,AGU-26-4,-4,6500,5.7,4.4,0,0.1,2,17,0.1,11,19.06,1.11,1.14,0.06,394,240,366,1.23
68,AGU-26,AGU-26-5,-5,6501,5.8,4.6,0.1,0.1,1,15,0,8,16.69,0.97,0.99,0.05,354,280,366,1.17
69,AGU-26,AGU-26-6,-6,6502,5.8,5,0.1,0,0,10,0,5,14.99,0.87,0.84,0.05,354,280,366,1.12
70,AGU-26,AGU-26-7,-7,6503,5.9,5.1,0,0,0,7,0,3,13.72,0.8,0.79,0.04,414,300,286,1.18
71,AGU-27,AGU-27-1,-1,6504,5.5,4.1,0.6,0.7,4,23,5.3,27,30.88,1.79,1.87,0.11,274,240,486,1.16
72,AGU-27,AGU-27-2,-2,6505,5.6,4.4,0.1,0.3,2,21,0.6,19,23.42,1.36,1.26,0.07,334,220,446,1.18
73,AGU-27,AGU-27-3,-3,6506,5.6,4.4,0.1,0.3,2,18,0.3,17,24.44,1.42,1.29,0.07,354,220,426,1.22
74,AGU-27,AGU-27-4,-4,6507,5.7,5,0.2,0.1,1,12,0.2,12,15.22,0.88,0.88,0.05,354,220,426,1.17
75,AGU-27,AGU-27-5,-5,6508,5.7,5.3,0.3,0.1,0,11,0,11,12.06,0.7,0.68,0.04,354,220,426,1.10
76,AGU-27,AGU-27-6,-6,6509,6,5.5,0.2,0,0,3,0,8,9.82,0.57,0.63,0.04,314,300,386,01.03
77,AGU-27,AGU-27-7,-7,6510,6,5.6,0,0,0,2,0,5,9.63,0.56,0.54,0.03,294,280,426,1.16
78,AGU-28,AGU-28-1,-1,6511,5.4,3.8,1.7,1.1,12,25,0.9,31,56.29,3.27,3.51,0.18,703,100,197,0.93
79,AGU-28,AGU-28-2,-2,6512,5.2,3.9,0.5,0.6,7,24,0.5,30,40.82,2.37,1.97,0.11,763,80,157,1.11
80,AGU-28,AGU-28-3,-3,6513,5.4,4.1,0.2,0.4,4,21,1.2,23,33.36,1.93,1.57,0.09,783,100,117,1.15
81,AGU-28,AGU-28-4,-4,6514,5.4,4.3,0.3,0.1,2,20,0.2,17,19.06,1.11,1.2,0.07,825,100,75,1.16
82,AGU-28,AGU-28-5,-5,6515,5.5,4.5,0.2,0.3,1,17,0,14,19.39,1.12,1,0.06,835,80,85,1.14
83,AGU-28,AGU-28-6,-6,6516,5.4,4.7,0.3,0.1,1,13,0,17,14.55,0.84,0.96,0.06,865,70,65,1.11
84,AGU-28,AGU-28-7,-7,6517,5.6,4.7,0.1,0.1,1,10,0,8,16.35,0.95,01.01,0.06,825,100,75,1.30
85,AGU-29,AGU-29-1,-1,6518,5.7,4.3,23.1,5.5,0,18,65.5,76,15.84,0.92,0.84,0.06,127,80,793,1.49
86,AGU-29,AGU-29-2,-2,6519,6,4.8,26.1,6.2,0,13,37.7,50,14.01,0.81,0.8,0.06,127,40,833,1.61
87,AGU-29,AGU-29-3,-3,6520,6.1,4.7,15.2,4.4,0,10,11.3,23,9.93,0.58,0.54,0.04,127,60,813,1.61
88,AGU-29,AGU-29-4,-4,6521,6.1,4.8,10.1,4.7,0,7,1.4,22,6.62,0.38,0.41,0.03,147,60,793,1.59
89,AGU-29,AGU-29-5,-5,6522,6.3,4.9,9,3.7,0,5,0.5,22,7.33,0.43,0.38,0.03,207,20,773,1.49
90,AGU-29,AGU-29-6,-6,6523,5.6,4.5,4.7,1.5,1,5,0.3,20,5.34,0.31,0.36,0.03,207,40,753,1.71
91,AGU-29,AGU-29-7,-7,6524,5.3,4.3,2.6,0.8,2,7,0.2,14,6.97,0.4,0.32,0.02,187,60,753,1.53
92,AGU-30,AGU-30-1,-1,6525,5.1,3.8,15.1,2.2,2,28,89.2,59,19.13,1.11,0.95,0.07,127,40,833,1.53
93,AGU-30,AGU-30-2,-2,6526,5.6,4.2,18.8,2.2,1,20,26.4,67,18.17,01.05,0.8,0.06,127,60,813,1.56
94,AGU-30,AGU-30-3,-3,6527,5.8,4.5,11.9,2.1,1,12,17.5,34,8.65,0.5,0.53,0.04,147,60,793,1.59
95,AGU-30,AGU-30-4,-4,6528,5.8,4.6,7.7,2.8,0,11,0.5,22,6.39,0.37,0.4,0.03,167,60,773,1.56
96,AGU-30,AGU-30-5,-5,6529,5.7,4.5,4.9,2.4,1,9,0.3,20,5.85,0.34,0.41,0.03,167,80,753,1.54
97,AGU-30,AGU-30-6,-6,6530,5,4.2,2,1.2,2,10,0.1,16,4.91,0.28,0.29,0.02,207,60,733,1.59
98,AGU-30,AGU-30-7,-7,6531,5,4.2,1.6,1.1,2,8,0,14,3.56,0.21,0.25,0.02,187,40,773,1.56
99,AGU-31,AGU-31-1,-1,6532,5,3.8,16.6,2.6,2,28,92.2,56,16.88,0.98,0.83,0.06,147,40,813,1.58
100,AGU-31,AGU-31-2,-2,6533,5.5,4.2,19.6,3.6,1,21,27,59,14.99,0.87,0.78,0.07,147,60,793,1.63
101,AGU-31,AGU-31-3,-3,6534,5.6,4.4,11.5,2.5,1,13,2.6,41,8.78,0.51,0.43,0.03,169,20,811,1.64
102,AGU-31,AGU-31-4,-4,6535,5.8,4.6,7.8,2.4,0,12,0.5,20,06.06,0.35,0.44,0.03,229,20,751,1.54
103,AGU-31,AGU-31-5,-5,6536,5.7,4.4,4.8,1.8,1,11,0.3,33,7.95,0.46,0.37,0.02,229,40,731,1.48
104,AGU-31,AGU-31-6,-6,6537,5.1,4.2,2.3,1.2,2,10,0.1,17,10.07,0.58,0.34,0.02,229,40,731,1.52
105,AGU-31,AGU-31-7,-7,6538,5.1,4.2,1.7,1.1,2,10,0,12,16.45,0.95,0.34,0.02,229,40,731,1.53
106,AGU-32,AGU-32-1,-1,6539,5.6,4.2,25.4,5.5,1,21,98.5,8,15.74,0.91,01.06,0.08,149,20,831,1.57
107,AGU-32,AGU-32-2,-2,6540,5.7,4.2,19.4,3.6,1,20,37.5,108,16.15,0.94,0.87,0.08,169,20,811,1.58
108,AGU-32,AGU-32-3,-3,6541,5.9,4.5,14.3,3.6,0,13,17.6,64,9.55,0.55,0.63,0.07,169,20,811,1.62
109,AGU-32,AGU-32-4,-4,6542,6.1,4.8,13,4.2,0,9,7.8,50,7.81,0.45,0.57,0.09,169,60,771,1.52
110,AGU-32,AGU-32-5,-5,6543,6.1,4.8,7.8,3,0,8,0.6,48,5.68,0.33,0.37,0.03,189,40,771,1.50
111,AGU-32,AGU-32-6,-6,6544,5.8,4.4,11.5,2.9,0,6,0.3,37,10.28,0.6,0.57,0.04,209,20,771,1.60
112,AGU-32,AGU-32-7,-7,6545,5.2,4.2,2.6,0.7,2,9,0.1,28,4.95,0.29,0.32,0.02,229,40,731,1.66
113,AGU-33,AGU-33-1,-1,6546,5.6,4.4,50,14.3,1,21,47.7,203,51.12,2.97,3.28,0.21,369,280,351,01.03
114,AGU-33,AGU-33-2,-2,6547,5.5,4.2,25.3,5.7,1,22,9.4,134,38.13,2.21,2.33,0.13,489,240,271,1.15
115,AGU-33,AGU-33-3,-3,6548,5.5,4.4,15.6,3.7,1,17,0.9,105,28.24,1.64,1.76,0.09,689,200,111,1.17
116,AGU-33,AGU-33-4,-4,6549,5.5,4.5,8.2,3.9,1,16,0.4,83,22.83,1.32,1.39,0.07,709,180,111,1.10
117,AGU-33,AGU-33-5,-5,6550,5.4,4.4,5.5,2.8,1,13,0.2,80,20.58,1.19,1.22,0.06,769,200,31,01.07
118,AGU-33,AGU-33-6,-6,6551,5.3,4.4,6.2,2.2,1,12,0.1,75,24.35,1.41,1.24,0.05,769,220,11,1.15
