Sequencial,Fazenda-C창mara,ID# amostra (obrigat처ria),Profundidade,C처d. Laborat처rio,em H20,em CaCl2 0.01 M,Ca,Mg,Al,H + Al,P,K,M.O.,C.O. WB,C total (Dumas,N total Dumas,Argila,Silte,Areia,Densidade
119,AGU-33,AGU-33-7,-7,6552,5.4,4.6,6.2,2.1,1,10,0,73,17.3,1,1.13,0.05,789,160,51,1.18
120,AGU-34,AGU-34-1,-1,6553,5.8,4.4,58.6,14.1,0,24,49.5,187,54.68,3.17,3.64,0.23,329,300,371,01.08
121,AGU-34,AGU-34-2,-2,6554,5.5,4,25.1,5.8,1,20,13.3,144,43.48,2.52,2.41,0.12,574,360,66,1.13
122,AGU-34,AGU-34-3,-3,6555,5.2,4.1,10.5,3,3,18,1.4,119,31.66,1.84,1.88,0.09,814,180,6,1.18
123,AGU-34,AGU-34-4,-4,6556,4.6,4,2.3,1,5,14,0.3,42,23.59,1.37,1.33,0.06,894,100,6,1.10
124,AGU-34,AGU-34-5,-5,6557,4.5,4,1.9,0.8,5,12,0.1,41,20.6,1.19,1.23,0.05,894,100,6,1.13
125,AGU-34,AGU-34-6,-6,6558,4.8,4.1,3.7,1.4,3,11,0,28,17.82,01.03,1.13,0.04,874,120,6,01.09
126,AGU-34,AGU-34-7,-7,6559,4.8,4.2,4.2,2.1,2,9,0,25,16.79,0.97,01.07,0.04,874,120,6,0.96
127,AGU-35,AGU-35-1,-1,6560,5.7,4.4,50.8,12.5,1,21,32.3,218,59.13,3.43,3.38,0.2,534,440,26,1.13
128,AGU-35,AGU-35-2,-2,6561,5.6,4.3,27.8,6,1,18,17.5,145,40.03,2.32,2.49,0.12,674,300,26,1.14
129,AGU-35,AGU-35-3,-3,6562,5.4,4.2,14.1,3.3,1,17,1.9,101,34.12,1.98,2,0.09,834,160,6,1.13
130,AGU-35,AGU-35-4,-4,6563,5.1,4.3,7.2,2.2,2,15,0.4,67,22.23,1.29,1.4,0.06,854,140,6,1.12
131,AGU-35,AGU-35-5,-5,6564,5.2,4.4,5.6,1.7,1,14,0.2,58,20.9,1.21,1.23,0.05,854,140,6,01.02
132,AGU-35,AGU-35-6,-6,6565,5,4.3,6,2.1,1,13,0.1,28,19.66,1.14,1.21,0.05,874,120,6,0.95
133,AGU-35,AGU-35-7,-7,6566,5,4.5,5.9,3,1,12,0,17,16.22,0.94,01.08,0.04,894,100,6,01.07
134,AGU-36,AGU-36-1,-1,6567,5.3,4.1,45.5,11.1,1,29,58,151,58.36,3.39,3.53,0.22,554,320,126,1.11
135,AGU-36,AGU-36-2,-2,6568,5.3,4.1,20.9,4.4,1,28,4.6,125,39.33,2.28,2.19,0.1,754,220,26,1.13
136,AGU-36,AGU-36-3,-3,6569,5.3,4.1,15.1,3.5,2,26,1.6,106,33.26,1.93,2.1,0.09,794,200,6,1.15
137,AGU-36,AGU-36-4,-4,6570,5.3,4.4,6.5,1.5,1,21,0.3,83,22.27,1.29,1.31,0.05,894,100,6,1.17
138,AGU-36,AGU-36-5,-5,6571,5.3,4.4,5.9,1.8,1,17,0.1,76,19.07,1.11,1.19,0.05,874,100,26,01.08
139,AGU-36,AGU-36-6,-6,6572,5.5,4.7,6.5,1.8,1,13,0,75,16.74,0.97,01.03,0.04,874,120,6,1.11
140,AGU-36,AGU-36-7,-7,6573,5.6,4.7,6.6,1.8,0,11,0,70,16.16,0.94,01.02,0.04,874,100,26,1.14
141,AGU-37,AGU-37-1,-1,6574,6.1,4.7,23.9,7.3,0,16,73.5,33,15.54,0.9,0.82,0.05,74,60,866,1.55
142,AGU-37,AGU-37-2,-2,6575,6.3,4.5,16.9,4.3,0,12,75.5,22,10.37,0.6,0.69,0.04,74,20,906,1.65
143,AGU-37,AGU-37-3,-3,6576,6.3,4.5,9,2.6,0,8,61.5,19,6.28,0.36,0.36,0.02,74,60,866,1.67
144,AGU-37,AGU-37-4,-4,6577,6.3,4.4,7.8,2.6,0,7,28.3,14,5.64,0.33,0.3,0.02,74,20,906,1.60
145,AGU-37,AGU-37-5,-5,6578,6,4.2,3.2,1.8,1,4,4.2,9,4.51,0.26,0.28,0.02,94,40,866,1.51
146,AGU-37,AGU-37-6,-6,6579,5.7,4.2,1.7,1.1,2,6,1.9,6,04.07,0.24,0.27,0.02,114,40,846,1.55
147,AGU-37,AGU-37-7,-7,6580,5.3,4,0.7,0.6,3,8,0.6,3,3.79,0.22,0.25,0.02,114,20,866,1.56
148,AGU-38,AGU-38-1,-1,6581,6.1,4.7,27.9,9.8,0,15,115.5,36,12.08,0.7,0.9,0.06,74,40,886,1.55
149,AGU-38,AGU-38-2,-2,6582,6.3,4.5,15.9,5,0,12,82.5,34,11.12,0.64,0.66,0.04,74,7,918,1.66
150,AGU-38,AGU-38-3,-3,6583,6.4,4.5,8.6,3.2,0,8,44.8,30,5.75,0.33,0.47,0.03,94,7,898,1.70
151,AGU-38,AGU-38-4,-4,6584,6.4,4.4,6,1.9,0,7,20.5,28,4.77,0.28,0.32,0.02,74,60,866,1.60
152,AGU-38,AGU-38-5,-5,6585,6,4.2,2.4,1,0,6,5.1,27,4.58,0.27,0.28,0.02,94,40,866,1.58
153,AGU-38,AGU-38-6,-6,6586,5.8,4.1,2.4,1,2,7,2.5,8,4.15,0.24,0.34,0.02,114,40,846,1.65
154,AGU-38,AGU-38-7,-7,6587,5.4,4.1,0.6,0.1,3,8,0.8,3,3.94,0.23,0.31,0.02,114,60,826,1.65
155,AGU-39,AGU-39-1,-1,6588,6.1,4.7,26.2,7.6,0,16,91.2,36,12.54,0.73,1.34,0.08,74,60,866,1.57
156,AGU-39,AGU-39-2,-2,6589,6.3,4.4,17.6,4.7,0,12,71.5,28,10.55,0.61,0.93,0.05,74,20,906,1.66
157,AGU-39,AGU-39-3,-3,6590,6.2,4.3,9.6,2.6,0,11,39.1,25,6.45,0.37,0.39,0.02,74,40,886,1.62
158,AGU-39,AGU-39-4,-4,6591,6.1,4.2,4.5,1.8,0,10,6.9,22,5.75,0.33,0.39,0.02,114,20,866,1.55
159,AGU-39,AGU-39-5,-5,6592,6,4.2,3.2,1.1,1,10,3.1,22,05.02,0.29,0.36,0.02,114,40,846,1.55
160,AGU-39,AGU-39-6,-6,6593,5.6,4.1,1.4,0.1,2,8,0.9,9,4.56,0.26,0.22,0.02,94,40,866,1.56
161,AGU-39,AGU-39-7,-7,6594,5.3,4.1,0.4,<0.1,3,9,0.5,6,3.4,0.2,0.19,0.01,94,20,886,1.58
162,AGU-40,AGU-40-1,-1,6595,5.9,4.5,23.2,7.2,0,21,98.5,39,18.89,1.1,0.76,0.05,74,20,906,1.55
163,AGU-40,AGU-40-2,-2,6596,6.1,4.2,13.8,4.2,0,17,69.5,31,11.15,0.65,0.55,0.03,74,40,886,1.66
164,AGU-40,AGU-40-3,-3,6597,6.2,4.2,8.2,2.4,0,13,36.5,28,7.24,0.42,0.42,0.02,74,40,886,1.65
165,AGU-40,AGU-40-4,-4,6598,6,4.1,2.7,0.4,0,10,18.6,25,4.47,0.26,0.31,0.02,74,60,866,1.55
166,AGU-40,AGU-40-5,-5,6599,5.9,4.1,1.4,0.3,1,8,6.3,23,4.66,0.27,0.27,0.02,74,40,886,1.51
167,AGU-40,AGU-40-6,-6,6600,5.5,4.1,0.6,0.6,2,9,0.7,12,04.04,0.23,0.25,0.02,94,7,898,1.56
168,AGU-40,AGU-40-7,-7,6601,5.3,4,0.3,0.1,3,10,0.4,6,3.32,0.19,0.2,0.02,74,20,906,1.55
337,AGU-ARE-Central,AGU-ARE-Central-1,-1,6770,5.6,4.2,29.3,4.7,1,20,125,48,17.48,01.01,1,0.07,94,40,866,0.00
338,AGU-ARE-Central,AGU-ARE-Central-2,-2,6771,5.8,4.3,19.4,4.8,0,17,33.7,64,11.79,0.68,0.81,0.05,94,80,826,0.00
339,AGU-ARE-Central,AGU-ARE-Central-3,-3,6772,5.9,4.6,14.8,3.3,0,14,7.6,34,9.53,0.55,0.42,0.03,94,80,826,0.00
340,AGU-ARG-Central,AGU-ARG-Central-1,-1,6773,6.1,4.7,62.3,18.8,0,13,27.5,187,58.84,3.41,3.43,0.21,174,320,506,0.00
341,AGU-ARG-Central,AGU-ARG-Central-2,-2,6774,5.9,4.4,27.3,7.2,0,12,6,120,39.71,2.3,2.22,0.11,549,160,291,0.00
342,AGU-ARG-Central,AGU-ARG-Central-3,-3,6775,5.7,4.3,14.6,4.7,1,11,2.1,86,30.61,1.78,1.82,0.09,559,140,301,0.00
343,AGU-BRA-Central,AGU-BRA-Central-1,-1,6776,5.9,4,0.2,0.6,5,15,0.7,30,39.69,2.3,2.1,0.12,499,170,331,0.00
344,AGU-BRA-Central,AGU-BRA-Central-2,-2,6777,5.8,4.1,<0.1,0.3,3,13,0.4,19,27.31,1.58,1.49,0.08,314,240,446,0.00
345,AGU-BRA-Central,AGU-BRA-Central-3,-3,6778,5.8,4.3,<0.1,0.3,2,12,0.2,14,23.4,1.36,1.39,0.08,314,240,446,0.00
346,AGU-NAT-Central,AGU-NAT-Central-1,-1,6779,6.2,4.8,31.7,9.6,0,10,98.5,31,22.48,1.3,1.37,0.08,54,60,886,0.00
347,AGU-NAT-Central,AGU-NAT-Central-2,-2,6780,6.2,4.5,16.3,5.4,0,9,52.2,19,11.45,0.66,0.5,0.03,54,60,886,0.00
348,AGU-NAT-Central,AGU-NAT-Central-3,-3,6781,6.2,4.6,10.6,3.9,0,7,37.7,17,7.23,0.42,0.34,0.02,54,60,886,0.00
169,ITA-41,ITA-41-1,-1,6602,5.7,3.9,0.3,<0.1,5,23,0.8,31,17.86,01.04,01.02,0.06,174,40,786,1.40
170,ITA-41,ITA-41-2,-2,6603,5.5,3.9,<0.1,<0.1,5,21,0.6,16,13.01,0.75,0.78,0.05,194,20,786,1.48
171,ITA-41,ITA-41-3,-3,6604,5.4,3.9,<0.1,<0.1,5,18,0.5,11,10.31,0.6,0.34,0.02,214,60,726,1.45
172,ITA-41,ITA-41-4,-4,6605,5.4,4,<0.1,<0.1,4,15,0.3,8,8.26,0.48,0.39,0.02,194,20,786,1.51
173,ITA-41,ITA-41-5,-5,6606,5.4,4.1,<0.1,<0.1,4,12,0.1,5,6.76,0.39,0.33,0.02,234,20,746,1.42
174,ITA-41,ITA-41-6,-6,6607,5.4,4.1,<0.1,<0.1,3,10,0,3,5.25,0.3,0.29,0.01,234,40,726,1.50
175,ITA-41,ITA-41-7,-7,6608,5.4,4.1,<0.1,<0.1,2,9,0,2,5.52,0.32,0.47,0.02,254,40,706,1.41
176,ITA-42,ITA-42-1,-1,6609,5.6,3.9,0.2,<0.1,5,24,0.7,19,13.66,0.79,0.69,0.04,194,20,786,1.48
177,ITA-42,ITA-42-2,-2,6610,5.4,3.9,0.3,<0.1,5,21,0.6,19,12.32,0.71,0.35,0.02,214,20,766,1.48
178,ITA-42,ITA-42-3,-3,6611,5.5,3.9,0.1,<0.1,4,17,0.5,16,10.97,0.64,0.51,0.03,194,20,786,1.50
179,ITA-42,ITA-42-4,-4,6612,5.5,4.1,0.3,<0.1,4,14,0.3,14,8.35,0.48,0.44,0.03,214,20,766,1.56
180,ITA-42,ITA-42-5,-5,6613,5.5,4.1,0.3,<0.1,3,12,0.2,12,8,0.46,0.34,0.02,234,40,726,1.44
181,ITA-42,ITA-42-6,-6,6614,5.5,4.2,0.2,<0.1,2,10,0.1,9,6.57,0.38,0.39,0.02,234,40,726,1.43
182,ITA-42,ITA-42-7,-7,6615,5.4,4.2,0.1,<0.1,2,9,0,6,7.91,0.46,0.42,0.02,254,20,726,1.52
183,ITA-43,ITA-43-1,-1,6616,5.2,3.9,0.4,0.1,5,29,1.3,34,16.13,0.94,0.97,0.06,174,40,786,1.36
184,ITA-43,ITA-43-2,-2,6617,5.3,3.9,<0.1,<0.1,5,26,0.8,23,11.88,0.69,0.69,0.04,174,20,806,1.37
185,ITA-43,ITA-43-3,-3,6618,5.2,3.9,<0.1,<0.1,5,23,0.5,20,10.69,0.62,0.63,0.04,174,20,806,1.51
186,ITA-43,ITA-43-4,-4,6619,5.4,4,<0.1,<0.1,4,18,0.3,14,10.01,0.58,0.38,0.02,234,20,746,1.43
187,ITA-43,ITA-43-5,-5,6620,5.4,4.1,<0.1,<0.1,2,15,0.2,11,6.18,0.36,0.37,0.02,214,40,746,1.35
188,ITA-43,ITA-43-6,-6,6621,5.3,4.2,<0.1,<0.1,2,12,0.1,11,5.64,0.33,0.41,0.02,254,20,726,1.40
189,ITA-43,ITA-43-7,-7,6622,5.4,4.2,<0.1,<0.1,2,10,0,8,6,0.35,0.47,0.02,254,20,726,1.42
190,ITA-44,ITA-44-1,-1,6623,5.8,3.9,0.4,<0.1,4,21,1,28,13.26,0.77,0.95,0.06,174,20,806,1.36
191,ITA-44,ITA-44-2,-2,6624,5.6,4,0.1,<0.1,4,18,0.9,22,10,0.58,0.65,0.04,174,60,766,1.45
192,ITA-44,ITA-44-3,-3,6625,5.6,4,0.1,<0.1,4,15,0.6,19,9.37,0.54,0.56,0.03,214,40,746,1.50
193,ITA-44,ITA-44-4,-4,6626,5.6,4,<0.1,<0.1,3,13,0.3,14,7.65,0.44,0.51,0.03,214,40,746,1.47
194,ITA-44,ITA-44-5,-5,6627,5.5,4.1,0.9,0.3,2,12,0.2,12,6.87,0.4,0.54,0.03,254,20,726,1.38
195,ITA-44,ITA-44-6,-6,6628,5.6,4.1,0.9,0.1,2,8,0.1,9,5.99,0.35,0.35,0.02,254,20,726,1.36
196,ITA-44,ITA-44-7,-7,6629,5.5,4.2,0.9,0.1,2,7,0,6,6.92,0.4,0.4,0.02,254,40,706,1.44
197,ITA-45,ITA-45-1,-1,6630,5.8,4.6,40.2,19.1,0,20,27.5,128,46.14,2.68,2.36,0.13,454,200,346,1.10
198,ITA-45,ITA-45-2,-2,6631,5.5,4.2,21,5.4,1,18,15.6,98,40.23,2.33,3.25,0.2,534,180,286,1.27
199,ITA-45,ITA-45-3,-3,6632,5.3,4.1,10.8,4.2,2,17,2.4,70,30.8,1.79,1.71,0.08,674,100,226,1.32
200,ITA-45,ITA-45-4,-4,6633,5.2,4.2,4.1,1.5,2,15,0.5,67,19.46,1.13,1.35,0.06,734,100,166,1.29
201,ITA-45,ITA-45-5,-5,6634,5.4,4.4,4.9,2.1,1,12,0.3,64,15.86,0.92,01.08,0.05,774,60,166,1.31
202,ITA-45,ITA-45-6,-6,6635,5.5,4.7,5,3.5,1,8,0.1,58,14.79,0.86,0.96,0.05,774,80,146,1.21
203,ITA-45,ITA-45-7,-7,6636,5.7,4.9,6.3,3.6,0,6,0,55,12.83,0.74,0.88,0.04,774,80,146,1.12
204,ITA-46,ITA-46-1,-1,6637,5.9,4.5,32.6,12.6,0,18,28.5,151,40.61,2.36,2.55,0.16,474,200,326,1.14
205,ITA-46,ITA-46-2,-2,6638,5.8,4.2,24.3,6.1,1,17,15.1,112,39.06,2.27,2.11,0.12,554,200,246,1.23
206,ITA-46,ITA-46-3,-3,6639,5.6,4.3,13.6,4,1,16,2.2,87,29.78,1.73,1.86,0.09,694,140,166,1.30
207,ITA-46,ITA-46-4,-4,6640,5.5,4.4,14,5,1,14,1.8,84,25.84,1.5,1.47,0.07,734,100,166,1.24
208,ITA-46,ITA-46-5,-5,6641,5.5,4.4,10.3,4.6,1,13,0.9,58,20.64,1.2,1.3,0.06,754,100,146,1.24
209,ITA-46,ITA-46-6,-6,6642,5.4,4.5,7,3.9,1,10,0.4,44,18.27,01.06,1.17,0.05,754,100,146,1.24
210,ITA-46,ITA-46-7,-7,6643,5.6,4.7,6.3,4,0,8,0.2,41,15.52,0.9,0.99,0.05,774,100,126,1.21
211,ITA-47,ITA-47-1,-1,6644,5.6,4.4,31.2,13.3,1,22,27.8,153,47.45,2.75,2.95,0.18,454,220,326,1.14
212,ITA-47,ITA-47-2,-2,6645,5.5,4.1,20.8,4.3,2,20,22.2,125,41.31,2.4,2.44,0.13,554,180,266,1.20
213,ITA-47,ITA-47-3,-3,6646,5.2,4.1,8.9,2.5,2,18,1.7,86,30.29,1.76,1.6,0.08,734,80,186,1.25
214,ITA-47,ITA-47-4,-4,6647,5.1,4.1,5.3,1.4,2,16,0.5,73,20.55,1.19,1.21,0.06,754,100,146,1.16
215,ITA-47,ITA-47-5,-5,6648,5.1,4.4,6.1,2.1,1,14,0.3,56,17.91,01.04,1.1,0.05,774,100,126,01.09
216,ITA-47,ITA-47-6,-6,6649,5.3,4.5,6.1,2.1,1,12,0.1,48,17.39,01.01,0.98,0.05,814,100,86,1.15
217,ITA-47,ITA-47-7,-7,6650,5.6,4.8,5.2,2.2,0,9,0,44,14.13,0.82,0.95,0.05,840,100,60,1.00
218,ITA-48,ITA-48-1,-1,6651,5.9,4.6,33.5,14.3,0,18,27.6,172,36.22,2.1,2.65,0.16,800,60,140,1.18
219,ITA-48,ITA-48-2,-2,6652,6,4.5,31.1,9.7,0,15,19.6,128,36.49,2.12,2.25,0.12,680,160,160,1.20
220,ITA-48,ITA-48-3,-3,6653,5.7,4.4,22.2,5.4,1,14,3.5,97,29.83,1.73,1.86,0.09,760,120,120,1.31
221,ITA-48,ITA-48-4,-4,6654,5.4,4.2,6.9,2.2,1,14,0.7,70,20.81,1.21,1.31,0.06,760,120,120,1.21
222,ITA-48,ITA-48-5,-5,6655,5.2,4.4,7.4,3.3,1,13,0.5,45,18.14,01.05,1.15,0.05,760,140,100,1.23
223,ITA-48,ITA-48-6,-6,6656,5.3,4.7,5.7,3.7,0,12,0.3,42,14.48,0.84,0.9,0.04,760,120,120,1.19
224,ITA-48,ITA-48-7,-7,6657,5.3,4.7,6.3,4.3,0,11,0.1,37,14.41,0.84,0.91,0.04,760,160,80,1.16
225,ITA-49,ITA-49-1,-1,6658,6.2,4.6,20.3,6.4,0,10,40.9,56,10.65,0.62,0.71,0.05,220,20,760,1.53
226,ITA-49,ITA-49-2,-2,6659,6.2,4.6,17.8,3.9,0,10,28.9,69,11.19,0.65,0.79,0.05,220,20,760,1.57
227,ITA-49,ITA-49-3,-3,6660,6.4,5,15.8,4.6,0,2,6.2,61,7.89,0.46,0.58,0.03,220,40,740,1.69
228,ITA-49,ITA-49-4,-4,6661,6.4,4.8,7.6,2.6,0,2,0.4,42,5.79,0.34,0.42,0.02,240,60,700,1.50
229,ITA-49,ITA-49-5,-5,6662,6.1,4.8,6.8,3.2,0,6,0.3,33,5.74,0.33,0.36,0.02,240,40,720,1.49
230,ITA-49,ITA-49-6,-6,6663,5.7,4.6,4.6,2.4,0,7,0.2,31,4.13,0.24,0.35,0.02,240,60,700,1.47
